year,species,species_latin,how_many_counted,total_hours
2010,"Highland Tinamou",Nothocercus bonapartei,NA,53
2011,"Highland Tinamou",Nothocercus bonapartei,NA,52
2012,"Highland Tinamou",Nothocercus bonapartei,NA,69.5
2013,"Highland Tinamou",Nothocercus bonapartei,1,45
2014,"Highland Tinamou",Nothocercus bonapartei,NA,66.5
2015,"Highland Tinamou",Nothocercus bonapartei,NA,80.5
2016,"Highland Tinamou",Nothocercus bonapartei,NA,61.35
2017,"Highland Tinamou",Nothocercus bonapartei,NA,87
2018,"Highland Tinamou",Nothocercus bonapartei,NA,89.5
2019,"Highland Tinamou",Nothocercus bonapartei,NA,62
2010,"Great Tinamou",Tinamus major,NA,53
2011,"Great Tinamou",Tinamus major,NA,52
2012,"Great Tinamou",Tinamus major,1,69.5
2013,"Great Tinamou",Tinamus major,2,45
2014,"Great Tinamou",Tinamus major,1,66.5
2015,"Great Tinamou",Tinamus major,10,80.5
2016,"Great Tinamou",Tinamus major,NA,61.35
2017,"Great Tinamou",Tinamus major,1,87
2018,"Great Tinamou",Tinamus major,2,89.5
2019,"Great Tinamou",Tinamus major,8,62
2010,"Little Tinamou",Crypturellus soui,2,53
2011,"Little Tinamou",Crypturellus soui,1,52
2012,"Little Tinamou",Crypturellus soui,1,69.5
2013,"Little Tinamou",Crypturellus soui,3,45
2014,"Little Tinamou",Crypturellus soui,4,66.5
2015,"Little Tinamou",Crypturellus soui,5,80.5
2016,"Little Tinamou",Crypturellus soui,2,61.35
2017,"Little Tinamou",Crypturellus soui,2,87
2018,"Little Tinamou",Crypturellus soui,7,89.5
2019,"Little Tinamou",Crypturellus soui,2,62
2010,"Slaty-breasted Tinamou",Crypturellus boucardi,NA,53
2011,"Slaty-breasted Tinamou",Crypturellus boucardi,3,52
2012,"Slaty-breasted Tinamou",Crypturellus boucardi,NA,69.5
2013,"Slaty-breasted Tinamou",Crypturellus boucardi,1,45
2014,"Slaty-breasted Tinamou",Crypturellus boucardi,1,66.5
2015,"Slaty-breasted Tinamou",Crypturellus boucardi,1,80.5
2016,"Slaty-breasted Tinamou",Crypturellus boucardi,NA,61.35
2017,"Slaty-breasted Tinamou",Crypturellus boucardi,NA,87
2018,"Slaty-breasted Tinamou",Crypturellus boucardi,8,89.5
2019,"Slaty-breasted Tinamou",Crypturellus boucardi,3,62
2010,"Thicket Tinamou",Crypturellus cinnamomeus,NA,53
2011,"Thicket Tinamou",Crypturellus cinnamomeus,NA,52
2012,"Thicket Tinamou",Crypturellus cinnamomeus,NA,69.5
2013,"Thicket Tinamou",Crypturellus cinnamomeus,NA,45
2014,"Thicket Tinamou",Crypturellus cinnamomeus,NA,66.5
2015,"Thicket Tinamou",Crypturellus cinnamomeus,1,80.5
2016,"Thicket Tinamou",Crypturellus cinnamomeus,NA,61.35
2017,"Thicket Tinamou",Crypturellus cinnamomeus,NA,87
2018,"Thicket Tinamou",Crypturellus cinnamomeus,NA,89.5
2019,"Thicket Tinamou",Crypturellus cinnamomeus,NA,62
2010,"Muscovy Duck",Cairina moschata,5,53
2011,"Muscovy Duck",Cairina moschata,NA,52
2012,"Muscovy Duck",Cairina moschata,NA,69.5
2013,"Muscovy Duck",Cairina moschata,NA,45
2014,"Muscovy Duck",Cairina moschata,NA,66.5
2015,"Muscovy Duck",Cairina moschata,NA,80.5
2016,"Muscovy Duck",Cairina moschata,1,61.35
2017,"Muscovy Duck",Cairina moschata,NA,87
2018,"Muscovy Duck",Cairina moschata,NA,89.5
2019,"Muscovy Duck",Cairina moschata,NA,62
2010,"Blue-winged Teal",Anas discors,NA,53
2011,"Blue-winged Teal",Anas discors,NA,52
2012,"Blue-winged Teal",Anas discors,NA,69.5
2013,"Blue-winged Teal",Anas discors,NA,45
2014,"Blue-winged Teal",Anas discors,NA,66.5
2015,"Blue-winged Teal",Anas discors,2,80.5
2016,"Blue-winged Teal",Anas discors,NA,61.35
2017,"Blue-winged Teal",Anas discors,NA,87
2018,"Blue-winged Teal",Anas discors,NA,89.5
2019,"Blue-winged Teal",Anas discors,NA,62
2010,"Lesser Scaup",Aythya affinis,NA,53
2011,"Lesser Scaup",Aythya affinis,NA,52
2012,"Lesser Scaup",Aythya affinis,NA,69.5
2013,"Lesser Scaup",Aythya affinis,NA,45
2014,"Lesser Scaup",Aythya affinis,NA,66.5
2015,"Lesser Scaup",Aythya affinis,5,80.5
2016,"Lesser Scaup",Aythya affinis,NA,61.35
2017,"Lesser Scaup",Aythya affinis,NA,87
2018,"Lesser Scaup",Aythya affinis,NA,89.5
2019,"Lesser Scaup",Aythya affinis,NA,62
2010,"Plain Chachalaca",Ortalis vetula,NA,53
2011,"Plain Chachalaca",Ortalis vetula,1,52
2012,"Plain Chachalaca",Ortalis vetula,1,69.5
2013,"Plain Chachalaca",Ortalis vetula,NA,45
2014,"Plain Chachalaca",Ortalis vetula,NA,66.5
2015,"Plain Chachalaca",Ortalis vetula,NA,80.5
2016,"Plain Chachalaca",Ortalis vetula,NA,61.35
2017,"Plain Chachalaca",Ortalis vetula,NA,87
2018,"Plain Chachalaca",Ortalis vetula,NA,89.5
2019,"Plain Chachalaca",Ortalis vetula,2,62
2010,"Gray-headed Chachalaca",Ortalis cinereiceps,NA,53
2011,"Gray-headed Chachalaca",Ortalis cinereiceps,6,52
2012,"Gray-headed Chachalaca",Ortalis cinereiceps,3,69.5
2013,"Gray-headed Chachalaca",Ortalis cinereiceps,NA,45
2014,"Gray-headed Chachalaca",Ortalis cinereiceps,NA,66.5
2015,"Gray-headed Chachalaca",Ortalis cinereiceps,NA,80.5
2016,"Gray-headed Chachalaca",Ortalis cinereiceps,NA,61.35
2017,"Gray-headed Chachalaca",Ortalis cinereiceps,12,87
2018,"Gray-headed Chachalaca",Ortalis cinereiceps,NA,89.5
2019,"Gray-headed Chachalaca",Ortalis cinereiceps,4,62
2010,"Crested Guan",Penelope purpurascens,12,53
2011,"Crested Guan",Penelope purpurascens,NA,52
2012,"Crested Guan",Penelope purpurascens,9,69.5
2013,"Crested Guan",Penelope purpurascens,8,45
2014,"Crested Guan",Penelope purpurascens,2,66.5
2015,"Crested Guan",Penelope purpurascens,6,80.5
2016,"Crested Guan",Penelope purpurascens,NA,61.35
2017,"Crested Guan",Penelope purpurascens,13,87
2018,"Crested Guan",Penelope purpurascens,15,89.5
2019,"Crested Guan",Penelope purpurascens,3,62
2010,"Black Guan",Chamaepetes unicolor,4,53
2011,"Black Guan",Chamaepetes unicolor,NA,52
2012,"Black Guan",Chamaepetes unicolor,NA,69.5
2013,"Black Guan",Chamaepetes unicolor,NA,45
2014,"Black Guan",Chamaepetes unicolor,NA,66.5
2015,"Black Guan",Chamaepetes unicolor,NA,80.5
2016,"Black Guan",Chamaepetes unicolor,NA,61.35
2017,"Black Guan",Chamaepetes unicolor,NA,87
2018,"Black Guan",Chamaepetes unicolor,NA,89.5
2019,"Black Guan",Chamaepetes unicolor,1,62
2010,"Great Curassow",Crax rubra,NA,53
2011,"Great Curassow",Crax rubra,2,52
2012,"Great Curassow",Crax rubra,2,69.5
2013,"Great Curassow",Crax rubra,5,45
2014,"Great Curassow",Crax rubra,NA,66.5
2015,"Great Curassow",Crax rubra,1,80.5
2016,"Great Curassow",Crax rubra,NA,61.35
2017,"Great Curassow",Crax rubra,3,87
2018,"Great Curassow",Crax rubra,1,89.5
2019,"Great Curassow",Crax rubra,3,62
2010,"Black-eared Wood-Quail",Odontophorus melanotis,9,53
2011,"Black-eared Wood-Quail",Odontophorus melanotis,NA,52
2012,"Black-eared Wood-Quail",Odontophorus melanotis,NA,69.5
2013,"Black-eared Wood-Quail",Odontophorus melanotis,NA,45
2014,"Black-eared Wood-Quail",Odontophorus melanotis,NA,66.5
2015,"Black-eared Wood-Quail",Odontophorus melanotis,NA,80.5
2016,"Black-eared Wood-Quail",Odontophorus melanotis,NA,61.35
2017,"Black-eared Wood-Quail",Odontophorus melanotis,NA,87
2018,"Black-eared Wood-Quail",Odontophorus melanotis,2,89.5
2019,"Black-eared Wood-Quail",Odontophorus melanotis,NA,62
2010,"Magnificent Frigatebird",Fregata magnificens,NA,53
2011,"Magnificent Frigatebird",Fregata magnificens,NA,52
2012,"Magnificent Frigatebird",Fregata magnificens,NA,69.5
2013,"Magnificent Frigatebird",Fregata magnificens,3,45
2014,"Magnificent Frigatebird",Fregata magnificens,NA,66.5
2015,"Magnificent Frigatebird",Fregata magnificens,NA,80.5
2016,"Magnificent Frigatebird",Fregata magnificens,NA,61.35
2017,"Magnificent Frigatebird",Fregata magnificens,NA,87
2018,"Magnificent Frigatebird",Fregata magnificens,NA,89.5
2019,"Magnificent Frigatebird",Fregata magnificens,NA,62
2010,"Fasciated Tiger-Heron",Tigrisoma fasciatum,NA,53
2011,"Fasciated Tiger-Heron",Tigrisoma fasciatum,NA,52
2012,"Fasciated Tiger-Heron",Tigrisoma fasciatum,1,69.5
2013,"Fasciated Tiger-Heron",Tigrisoma fasciatum,NA,45
2014,"Fasciated Tiger-Heron",Tigrisoma fasciatum,NA,66.5
2015,"Fasciated Tiger-Heron",Tigrisoma fasciatum,NA,80.5
2016,"Fasciated Tiger-Heron",Tigrisoma fasciatum,NA,61.35
2017,"Fasciated Tiger-Heron",Tigrisoma fasciatum,NA,87
2018,"Fasciated Tiger-Heron",Tigrisoma fasciatum,NA,89.5
2019,"Fasciated Tiger-Heron",Tigrisoma fasciatum,NA,62
2010,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,NA,53
2011,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,NA,52
2012,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,NA,69.5
2013,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,NA,45
2014,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,1,66.5
2015,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,NA,80.5
2016,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,NA,61.35
2017,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,NA,87
2018,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,NA,89.5
2019,"Bare-throated Tiger-Heron",Tigrisoma mexicanum,2,62
2010,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,NA,53
2011,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,NA,52
2012,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,NA,69.5
2013,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,NA,45
2014,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,1,66.5
2015,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,1,80.5
2016,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,2,61.35
2017,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,NA,87
2018,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,NA,89.5
2019,"Great Blue Heron (Blue form)",Ardea herodias [herodias Group,1,62
2010,"Great Egret",Ardea alba,1,53
2011,"Great Egret",Ardea alba,NA,52
2012,"Great Egret",Ardea alba,1,69.5
2013,"Great Egret",Ardea alba,2,45
2014,"Great Egret",Ardea alba,5,66.5
2015,"Great Egret",Ardea alba,1,80.5
2016,"Great Egret",Ardea alba,2,61.35
2017,"Great Egret",Ardea alba,1,87
2018,"Great Egret",Ardea alba,4,89.5
2019,"Great Egret",Ardea alba,4,62
2010,"Snowy Egret",Egretta thula,NA,53
2011,"Snowy Egret",Egretta thula,NA,52
2012,"Snowy Egret",Egretta thula,NA,69.5
2013,"Snowy Egret",Egretta thula,NA,45
2014,"Snowy Egret",Egretta thula,1,66.5
2015,"Snowy Egret",Egretta thula,1,80.5
2016,"Snowy Egret",Egretta thula,1,61.35
2017,"Snowy Egret",Egretta thula,NA,87
2018,"Snowy Egret",Egretta thula,NA,89.5
2019,"Snowy Egret",Egretta thula,1,62
2010,"Little Blue Heron",Egretta caerulea,NA,53
2011,"Little Blue Heron",Egretta caerulea,NA,52
2012,"Little Blue Heron",Egretta caerulea,NA,69.5
2013,"Little Blue Heron",Egretta caerulea,3,45
2014,"Little Blue Heron",Egretta caerulea,NA,66.5
2015,"Little Blue Heron",Egretta caerulea,2,80.5
2016,"Little Blue Heron",Egretta caerulea,3,61.35
2017,"Little Blue Heron",Egretta caerulea,2,87
2018,"Little Blue Heron",Egretta caerulea,1,89.5
2019,"Little Blue Heron",Egretta caerulea,6,62
2010,"Cattle Egret",Bubulcus ibis,109,53
2011,"Cattle Egret",Bubulcus ibis,80,52
2012,"Cattle Egret",Bubulcus ibis,172,69.5
2013,"Cattle Egret",Bubulcus ibis,101,45
2014,"Cattle Egret",Bubulcus ibis,60,66.5
2015,"Cattle Egret",Bubulcus ibis,98,80.5
2016,"Cattle Egret",Bubulcus ibis,195,61.35
2017,"Cattle Egret",Bubulcus ibis,168,87
2018,"Cattle Egret",Bubulcus ibis,43,89.5
2019,"Cattle Egret",Bubulcus ibis,63,62
2010,"Green Heron",Butorides virescens,1,53
2011,"Green Heron",Butorides virescens,NA,52
2012,"Green Heron",Butorides virescens,NA,69.5
2013,"Green Heron",Butorides virescens,1,45
2014,"Green Heron",Butorides virescens,1,66.5
2015,"Green Heron",Butorides virescens,3,80.5
2016,"Green Heron",Butorides virescens,1,61.35
2017,"Green Heron",Butorides virescens,NA,87
2018,"Green Heron",Butorides virescens,2,89.5
2019,"Green Heron",Butorides virescens,NA,62
2010,"Yellow-crowned Night-Heron",Nyctanassa violacea,NA,53
2011,"Yellow-crowned Night-Heron",Nyctanassa violacea,NA,52
2012,"Yellow-crowned Night-Heron",Nyctanassa violacea,NA,69.5
2013,"Yellow-crowned Night-Heron",Nyctanassa violacea,NA,45
2014,"Yellow-crowned Night-Heron",Nyctanassa violacea,NA,66.5
2015,"Yellow-crowned Night-Heron",Nyctanassa violacea,NA,80.5
2016,"Yellow-crowned Night-Heron",Nyctanassa violacea,NA,61.35
2017,"Yellow-crowned Night-Heron",Nyctanassa violacea,1,87
2018,"Yellow-crowned Night-Heron",Nyctanassa violacea,NA,89.5
2019,"Yellow-crowned Night-Heron",Nyctanassa violacea,NA,62
2010,"Boat-billed Heron",Cochlearius cochlearius,NA,53
2011,"Boat-billed Heron",Cochlearius cochlearius,NA,52
2012,"Boat-billed Heron",Cochlearius cochlearius,NA,69.5
2013,"Boat-billed Heron",Cochlearius cochlearius,NA,45
2014,"Boat-billed Heron",Cochlearius cochlearius,NA,66.5
2015,"Boat-billed Heron",Cochlearius cochlearius,2,80.5
2016,"Boat-billed Heron",Cochlearius cochlearius,NA,61.35
2017,"Boat-billed Heron",Cochlearius cochlearius,NA,87
